LLM,Intervention,Budget,pre score,post score
ChatGPT 5,military,27,0.617531808,0.519854748
ChatGPT 5,military,27,0.599742509,0.52662349
ChatGPT 5,military,27,0.640930261,0.476003596
ChatGPT 5,military,27,0.67013733,0.517216621
ChatGPT 5,military,27,0.618873426,0.552297553
ChatGPT 5,military,27,0.652570748,0.505030325
ChatGPT 5,military,27,0.536413481,0.508262963
ChatGPT 5,military,27,0.650872685,0.539621124
ChatGPT 5,military,27,0.674623122,0.570403601
ChatGPT 5,military,27,0.648462456,0.574561668
ChatGPT 5,military,27,0.597121097,0.531023222
ChatGPT 5,military,27,0.664376578,0.511318397
ChatGPT 5,military,27,0.655676606,0.49290408
ChatGPT 5,military,27,0.559185786,0.53174325
ChatGPT 5,military,27,0.605073542,0.533196418
ChatGPT 5,military,27,0.579608275,0.520753607
ChatGPT 5,military,27,0.692309351,0.513963497
ChatGPT 5,military,27,0.66676406,0.569388927
ChatGPT 5,military,27,0.618977409,0.564585205
ChatGPT 5,military,27,0.667852318,0.514285231
ChatGPT 5,military,27,0.619493853,0.527229766
ChatGPT 5,military,27,0.671390376,0.475704089
ChatGPT 5,military,27,0.568497034,0.510431911
ChatGPT 5,military,27,0.66728767,0.500641975
ChatGPT 5,military,27,0.641645976,0.476400241
ChatGPT 5,military,27,0.701019656,0.506767816
ChatGPT 5,military,27,0.688203573,0.58064778
ChatGPT 5,military,27,0.603959148,0.576041785
ChatGPT 5,military,27,0.597817946,0.512569625
ChatGPT 5,military,27,0.612447402,0.51614805
ChatGPT 5,military,27,0.555181954,0.566003937
ChatGPT 5,military,27,0.7056475,0.496117589
ChatGPT 5,military,27,0.549879612,0.514900878
ChatGPT 5,military,27,0.539143984,0.48068769
ChatGPT 5,military,27,0.606352126,0.558800717
ChatGPT 5,military,27,0.557929446,0.456209436
ChatGPT 5,military,27,0.619231709,0.544227295
ChatGPT 5,military,27,0.611624018,0.509353638
ChatGPT 5,military,27,0.535866763,0.571868349
ChatGPT 5,military,27,0.541346613,0.556794903
ChatGPT 5,military,27,0.649935932,0.48658675
ChatGPT 5,military,27,0.691234603,0.537147089
ChatGPT 5,military,27,0.552725407,0.536477538
ChatGPT 5,military,27,0.657887642,0.533973769
ChatGPT 5,military,27,0.559294139,0.537979847
ChatGPT 5,military,27,0.677496463,0.573375061
ChatGPT 5,military,27,0.533186683,0.526863668
ChatGPT 5,military,27,0.625832655,0.502898901
ChatGPT 5,military,27,0.611374742,0.515792239
ChatGPT 5,military,27,0.529962526,0.538320147
ChatGPT 5,military,54,0.714826736,0.569996753
ChatGPT 5,military,54,0.675757617,0.57025269
ChatGPT 5,military,54,0.696432387,0.585803923
ChatGPT 5,military,54,0.616952443,0.597547541
ChatGPT 5,military,54,0.557701464,0.565912595
ChatGPT 5,military,54,0.727411633,0.566635439
ChatGPT 5,military,54,0.678889687,0.54398537
ChatGPT 5,military,54,0.629064555,0.586273893
ChatGPT 5,military,54,0.680080286,0.577030771
ChatGPT 5,military,54,0.579409769,0.515403744
ChatGPT 5,military,54,0.618911744,0.572214148
ChatGPT 5,military,54,0.751286759,0.57715727
ChatGPT 5,military,54,0.639896644,0.488176686
ChatGPT 5,military,54,0.693216076,0.544794439
ChatGPT 5,military,54,0.622301552,0.580609834
ChatGPT 5,military,54,0.607293833,0.586793422
ChatGPT 5,military,54,0.503961979,0.619821441
ChatGPT 5,military,54,0.678281969,0.57155747
ChatGPT 5,military,54,0.717910718,0.575896552
ChatGPT 5,military,54,0.70263547,0.614189945
ChatGPT 5,military,54,0.667829203,0.552217102
ChatGPT 5,military,54,0.635766814,0.578437933
ChatGPT 5,military,54,0.634802672,0.583168663
ChatGPT 5,military,54,0.660398514,0.538381789
ChatGPT 5,military,54,0.672831945,0.591726756
ChatGPT 5,military,54,0.66065142,0.62509511
ChatGPT 5,military,54,0.726660821,0.610694661
ChatGPT 5,military,54,0.606173186,0.577607748
ChatGPT 5,military,54,0.687933425,0.642190471
ChatGPT 5,military,54,0.73023109,0.55517567
ChatGPT 5,military,54,0.654298922,0.548065445
ChatGPT 5,military,54,0.533756124,0.619207155
ChatGPT 5,military,54,0.692099701,0.59286584
ChatGPT 5,military,54,0.58202506,0.56581999
ChatGPT 5,military,54,0.620461979,0.576556981
ChatGPT 5,military,54,0.683155979,0.535063515
ChatGPT 5,military,54,0.689071229,0.558910945
ChatGPT 5,military,54,0.643090798,0.615377876
ChatGPT 5,military,54,0.634704444,0.554295428
ChatGPT 5,military,54,0.721295017,0.591263609
ChatGPT 5,military,54,0.62988408,0.571406174
ChatGPT 5,military,54,0.768114052,0.602855694
ChatGPT 5,military,54,0.713455207,0.578686665
ChatGPT 5,military,54,0.676314211,0.612372737
ChatGPT 5,military,54,0.753633809,0.579444009
ChatGPT 5,military,54,0.56687989,0.596127539
ChatGPT 5,military,54,0.69770604,0.561468815
ChatGPT 5,military,54,0.650257831,0.555309053
ChatGPT 5,military,54,0.576333785,0.588135984
ChatGPT 5,military,54,0.737959434,0.632016718
ChatGPT 5,military,108,0.624508515,0.550732269
ChatGPT 5,military,108,0.69212648,0.523748335
ChatGPT 5,military,108,0.625651068,0.513981982
ChatGPT 5,military,108,0.544676978,0.493810283
ChatGPT 5,military,108,0.670308608,0.529876506
ChatGPT 5,military,108,0.673535133,0.543490441
ChatGPT 5,military,108,0.574188005,0.541186336
ChatGPT 5,military,108,0.663526127,0.534904773
ChatGPT 5,military,108,0.655397886,0.521042438
ChatGPT 5,military,108,0.628122398,0.558824196
ChatGPT 5,military,108,0.579607505,0.570611535
ChatGPT 5,military,108,0.585665182,0.512243713
ChatGPT 5,military,108,0.674693587,0.501186973
ChatGPT 5,military,108,0.630960071,0.527991365
ChatGPT 5,military,108,0.573602848,0.531919064
ChatGPT 5,military,108,0.644704851,0.498939359
ChatGPT 5,military,108,0.618436536,0.4837627
ChatGPT 5,military,108,0.551903554,0.486322066
ChatGPT 5,military,108,0.553534488,0.483187823
ChatGPT 5,military,108,0.593253151,0.494016571
ChatGPT 5,military,108,0.649378326,0.482465926
ChatGPT 5,military,108,0.595079665,0.529045376
ChatGPT 5,military,108,0.614108608,0.487871276
ChatGPT 5,military,108,0.56808191,0.50991603
ChatGPT 5,military,108,0.673025242,0.559932969
ChatGPT 5,military,108,0.604153523,0.497962952
ChatGPT 5,military,108,0.656154482,0.484152027
ChatGPT 5,military,108,0.575450895,0.533245486
ChatGPT 5,military,108,0.559573509,0.54418295
ChatGPT 5,military,108,0.6006978,0.439274717
ChatGPT 5,military,108,0.613240291,0.523902534
ChatGPT 5,military,108,0.640831405,0.513927244
ChatGPT 5,military,108,0.661107262,0.508497462
ChatGPT 5,military,108,0.597829226,0.549141629
ChatGPT 5,military,108,0.655731945,0.594664962
ChatGPT 5,military,108,0.612508214,0.583686352
ChatGPT 5,military,108,0.566887247,0.488445785
ChatGPT 5,military,108,0.648531078,0.550491662
ChatGPT 5,military,108,0.659561445,0.531744586
ChatGPT 5,military,108,0.696610395,0.494032181
ChatGPT 5,military,108,0.625663066,0.510955708
ChatGPT 5,military,108,0.654635424,0.48737956
ChatGPT 5,military,108,0.60350626,0.560786717
ChatGPT 5,military,108,0.593682914,0.503371262
ChatGPT 5,military,108,0.597203166,0.510269301
ChatGPT 5,military,108,0.581927962,0.542570835
ChatGPT 5,military,108,0.651429224,0.549109387
ChatGPT 5,military,108,0.667836226,0.477904554
ChatGPT 5,military,108,0.662457126,0.528635168
ChatGPT 5,military,108,0.654713191,0.470654675
ChatGPT 5,disaster,27,0.627358323,0.615459983
ChatGPT 5,disaster,27,0.596827931,0.608058244
ChatGPT 5,disaster,27,0.681274705,0.643227663
ChatGPT 5,disaster,27,0.688031139,0.611156071
ChatGPT 5,disaster,27,0.676224747,0.605100235
ChatGPT 5,disaster,27,0.623758016,0.585480342
ChatGPT 5,disaster,27,0.688981835,0.580213746
ChatGPT 5,disaster,27,0.658443637,0.625117097
ChatGPT 5,disaster,27,0.696872821,0.556643556
ChatGPT 5,disaster,27,0.704433824,0.581193948
ChatGPT 5,disaster,27,0.727273806,0.626868682
ChatGPT 5,disaster,27,0.679721076,0.576204293
ChatGPT 5,disaster,27,0.660020532,0.599189068
ChatGPT 5,disaster,27,0.663817201,0.594845099
ChatGPT 5,disaster,27,0.611291637,0.637156135
ChatGPT 5,disaster,27,0.670453249,0.596822164
ChatGPT 5,disaster,27,0.641873295,0.578870497
ChatGPT 5,disaster,27,0.600799949,0.614837236
ChatGPT 5,disaster,27,0.615619947,0.567028239
ChatGPT 5,disaster,27,0.662512888,0.59585081
ChatGPT 5,disaster,27,0.613306103,0.538383794
ChatGPT 5,disaster,27,0.690518602,0.618596783
ChatGPT 5,disaster,27,0.639319379,0.614396485
ChatGPT 5,disaster,27,0.648310046,0.635307746
ChatGPT 5,disaster,27,0.633245633,0.625204628
ChatGPT 5,disaster,27,0.635906871,0.582774031
ChatGPT 5,disaster,27,0.651907928,0.56969635
ChatGPT 5,disaster,27,0.677195965,0.583177155
ChatGPT 5,disaster,27,0.630376255,0.615459313
ChatGPT 5,disaster,27,0.669180721,0.580629331
ChatGPT 5,disaster,27,0.678148517,0.570724134
ChatGPT 5,disaster,27,0.670723226,0.597888499
ChatGPT 5,disaster,27,0.660995649,0.601530461
ChatGPT 5,disaster,27,0.652503964,0.588396686
ChatGPT 5,disaster,27,0.629470249,0.553313403
ChatGPT 5,disaster,27,0.664268584,0.602199852
ChatGPT 5,disaster,27,0.731130638,0.550715431
ChatGPT 5,disaster,27,0.584640542,0.591599201
ChatGPT 5,disaster,27,0.715215639,0.637955067
ChatGPT 5,disaster,27,0.672492079,0.585899173
ChatGPT 5,disaster,27,0.618961896,0.596547902
ChatGPT 5,disaster,27,0.698691775,0.565236125
ChatGPT 5,disaster,27,0.715270291,0.588893327
ChatGPT 5,disaster,27,0.685292926,0.593274189
ChatGPT 5,disaster,27,0.661338787,0.652261279
ChatGPT 5,disaster,27,0.627809874,0.625146192
ChatGPT 5,disaster,27,0.695955382,0.612240574
ChatGPT 5,disaster,27,0.590705801,0.598155931
ChatGPT 5,disaster,27,0.602168729,0.584385302
ChatGPT 5,disaster,27,0.629357393,0.540688549
ChatGPT 5,disaster,54,0.622893016,0.550749681
ChatGPT 5,disaster,54,0.632151464,0.548115584
ChatGPT 5,disaster,54,0.644835889,0.497048727
ChatGPT 5,disaster,54,0.705422698,0.473022993
ChatGPT 5,disaster,54,0.617011824,0.538162854
ChatGPT 5,disaster,54,0.611085511,0.556176934
ChatGPT 5,disaster,54,0.612541487,0.528709114
ChatGPT 5,disaster,54,0.618071921,0.53436687
ChatGPT 5,disaster,54,0.667322455,0.551737916
ChatGPT 5,disaster,54,0.566233722,0.536633815
ChatGPT 5,disaster,54,0.588219087,0.486914305
ChatGPT 5,disaster,54,0.604822834,0.529161618
ChatGPT 5,disaster,54,0.631484245,0.52583688
ChatGPT 5,disaster,54,0.620866367,0.514370931
ChatGPT 5,disaster,54,0.603023173,0.549674765
ChatGPT 5,disaster,54,0.639315819,0.531534203
ChatGPT 5,disaster,54,0.608518105,0.503506897
ChatGPT 5,disaster,54,0.572810932,0.556125379
ChatGPT 5,disaster,54,0.660173158,0.558238021
ChatGPT 5,disaster,54,0.651929876,0.486479986
ChatGPT 5,disaster,54,0.58348485,0.558204272
ChatGPT 5,disaster,54,0.600157131,0.585171292
ChatGPT 5,disaster,54,0.643367471,0.536503968
ChatGPT 5,disaster,54,0.658482003,0.570619764
ChatGPT 5,disaster,54,0.60910267,0.568521969
ChatGPT 5,disaster,54,0.562646779,0.496946083
ChatGPT 5,disaster,54,0.653724295,0.528789821
ChatGPT 5,disaster,54,0.59814654,0.512267699
ChatGPT 5,disaster,54,0.632708157,0.541027305
ChatGPT 5,disaster,54,0.679581487,0.527009515
ChatGPT 5,disaster,54,0.617552302,0.550343964
